"","fecha","iteracion","Cs","MÃ¡s.Madrid","PP","PSOE","Unidas.Podemos","Vox","DCH","IZQ","esc.dif","ganador"
"1",2021-05-04,4864,0,26,60,32,10,8,68,68,0,"Empate"
"2",2021-05-04,3138,0,25,58,29,14,10,68,68,0,"Empate"
"3",2021-05-04,7594,0,25,58,29,14,10,68,68,0,"Empate"
"4",2021-05-04,7544,0,20,55,34,15,12,67,69,-2,"Izquierda"
"5",2021-05-04,608,0,26,62,36,12,0,62,74,-12,"Izquierda"
"6",2021-05-04,6179,0,24,51,34,18,9,60,76,-16,"Izquierda"
"7",2021-05-04,7534,0,24,56,36,12,8,64,72,-8,"Izquierda"
"8",2021-05-04,5440,0,24,53,32,14,13,66,70,-4,"Izquierda"
"9",2021-05-04,9328,0,24,63,29,20,0,63,73,-10,"Izquierda"
"10",2021-05-04,525,0,22,57,37,10,10,67,69,-2,"Izquierda"
"11",2021-05-04,5621,0,30,59,29,10,8,67,69,-2,"Izquierda"
"12",2021-05-04,6709,6,23,56,23,9,19,81,55,26,"Derecha"
"13",2021-05-04,6927,0,21,69,36,10,0,69,67,2,"Derecha"
"14",2021-05-04,7897,0,30,59,29,0,18,77,59,18,"Derecha"
"15",2021-05-04,5272,0,18,66,29,12,11,77,59,18,"Derecha"
"16",2021-05-04,9886,10,25,57,25,9,10,77,59,18,"Derecha"
"17",2021-05-04,6886,0,22,70,29,0,15,85,51,34,"Derecha"
"18",2021-05-04,9179,7,29,48,29,9,14,69,67,2,"Derecha"
"19",2021-05-04,923,0,19,75,31,0,11,86,50,36,"Derecha"
"20",2021-05-04,7372,0,22,57,33,12,12,69,67,2,"Derecha"
"21",2021-05-04,1598,0,25,56,22,14,19,75,61,14,"Derecha"
"22",2021-05-04,7882,0,30,63,28,0,15,78,58,20,"Derecha"
"23",2021-05-04,1423,0,21,59,32,9,15,74,62,12,"Derecha"
"24",2021-05-04,3529,0,24,58,31,8,15,73,63,10,"Derecha"
"25",2021-05-04,7692,9,21,58,31,7,10,77,59,18,"Derecha"
"26",2021-05-04,40,0,22,58,26,18,12,70,66,4,"Derecha"
"27",2021-05-04,6538,0,31,62,30,0,13,75,61,14,"Derecha"
"28",2021-05-04,2629,10,20,55,26,13,12,77,59,18,"Derecha"
"29",2021-05-04,3878,9,24,56,25,9,13,78,58,20,"Derecha"
"30",2021-05-04,3892,7,22,64,25,0,18,89,47,42,"Derecha"
"31",2021-05-04,4734,10,28,52,22,11,13,75,61,14,"Derecha"
"32",2021-05-04,826,10,27,53,24,10,12,75,61,14,"Derecha"
"33",2021-05-04,3997,9,25,57,23,10,12,78,58,20,"Derecha"
"34",2021-05-04,3871,0,25,63,29,0,19,82,54,28,"Derecha"
"35",2021-05-04,7457,0,22,61,26,19,8,69,67,2,"Derecha"
"36",2021-05-04,3245,0,23,61,29,14,9,70,66,4,"Derecha"
"37",2021-05-04,7613,7,17,56,29,13,14,77,59,18,"Derecha"
"38",2021-05-04,7888,9,23,52,30,7,15,76,60,16,"Derecha"
"39",2021-05-04,5928,0,21,59,31,13,12,71,65,6,"Derecha"
"40",2021-05-04,3137,0,20,63,32,10,11,74,62,12,"Derecha"
"41",2021-05-04,5599,8,20,55,33,7,13,76,60,16,"Derecha"
"42",2021-05-04,3031,8,28,53,25,8,14,75,61,14,"Derecha"
"43",2021-05-04,1707,0,21,67,23,14,11,78,58,20,"Derecha"
"44",2021-05-04,2271,0,28,64,31,0,13,77,59,18,"Derecha"
"45",2021-05-04,1506,7,27,60,29,0,13,80,56,24,"Derecha"
"46",2021-05-04,964,8,25,53,23,9,18,79,57,22,"Derecha"
"47",2021-05-04,8981,0,22,66,29,0,19,85,51,34,"Derecha"
"48",2021-05-04,3957,0,19,64,34,9,10,74,62,12,"Derecha"
"49",2021-05-04,4891,0,24,58,28,10,16,74,62,12,"Derecha"
"50",2021-05-04,9150,0,29,72,35,0,0,72,64,8,"Derecha"
"51",2021-05-04,8224,8,24,54,26,13,11,73,63,10,"Derecha"
"52",2021-05-04,3873,0,21,66,34,8,7,73,63,10,"Derecha"
"53",2021-05-04,6493,0,24,72,25,0,15,87,49,38,"Derecha"
"54",2021-05-04,8004,0,24,56,30,11,15,71,65,6,"Derecha"
"55",2021-05-04,468,0,26,61,31,7,11,72,64,8,"Derecha"
"56",2021-05-04,6280,9,25,69,33,0,0,78,58,20,"Derecha"
"57",2021-05-04,3493,0,26,55,31,10,14,69,67,2,"Derecha"
"58",2021-05-04,5234,0,20,73,34,0,9,82,54,28,"Derecha"
"59",2021-05-04,5991,0,31,58,26,9,12,70,66,4,"Derecha"
"60",2021-05-04,8216,0,21,65,24,12,14,79,57,22,"Derecha"
"61",2021-05-04,3335,0,25,63,29,7,12,75,61,14,"Derecha"
"62",2021-05-04,815,0,19,60,32,13,12,72,64,8,"Derecha"
"63",2021-05-04,7422,0,17,65,25,15,14,79,57,22,"Derecha"
"64",2021-05-04,4691,0,22,63,25,9,17,80,56,24,"Derecha"
"65",2021-05-04,7387,0,32,60,27,0,17,77,59,18,"Derecha"
"66",2021-05-04,6043,0,26,64,28,0,18,82,54,28,"Derecha"
"67",2021-05-04,5563,10,23,61,28,0,14,85,51,34,"Derecha"
"68",2021-05-04,1387,8,25,54,25,13,11,73,63,10,"Derecha"
"69",2021-05-04,6383,13,27,56,29,0,11,80,56,24,"Derecha"
"70",2021-05-04,1364,7,21,58,25,14,11,76,60,16,"Derecha"
"71",2021-05-04,5976,0,28,65,28,8,7,72,64,8,"Derecha"
"72",2021-05-04,3723,0,25,63,22,10,16,79,57,22,"Derecha"
"73",2021-05-04,1372,7,23,58,27,7,14,79,57,22,"Derecha"
"74",2021-05-04,7801,0,31,64,22,0,19,83,53,30,"Derecha"
"75",2021-05-04,688,0,25,63,29,0,19,82,54,28,"Derecha"
"76",2021-05-04,7017,0,25,58,23,15,15,73,63,10,"Derecha"
"77",2021-05-04,7846,0,26,64,27,9,10,74,62,12,"Derecha"
"78",2021-05-04,1505,12,15,49,27,14,19,80,56,24,"Derecha"
"79",2021-05-04,9411,7,22,60,24,11,12,79,57,22,"Derecha"
"80",2021-05-04,9051,10,22,52,31,10,11,73,63,10,"Derecha"
"81",2021-05-04,4835,0,21,69,25,10,11,80,56,24,"Derecha"
"82",2021-05-04,51,7,19,56,29,14,11,74,62,12,"Derecha"
"83",2021-05-04,9363,7,19,64,26,10,10,81,55,26,"Derecha"
"84",2021-05-04,3698,0,22,59,31,11,13,72,64,8,"Derecha"
"85",2021-05-04,3058,0,23,60,28,12,13,73,63,10,"Derecha"
"86",2021-05-04,8341,0,26,64,30,7,9,73,63,10,"Derecha"
"87",2021-05-04,6317,0,23,58,27,14,14,72,64,8,"Derecha"
"88",2021-05-04,8649,0,22,62,27,15,10,72,64,8,"Derecha"
"89",2021-05-04,7941,0,24,57,29,13,13,70,66,4,"Derecha"
"90",2021-05-04,5925,0,29,67,23,0,17,84,52,32,"Derecha"
"91",2021-05-04,8769,6,21,56,31,11,11,73,63,10,"Derecha"
"92",2021-05-04,9038,0,26,63,28,9,10,73,63,10,"Derecha"
"93",2021-05-04,8521,0,21,55,34,11,15,70,66,4,"Derecha"
"94",2021-05-04,6286,0,21,61,32,10,12,73,63,10,"Derecha"
"95",2021-05-04,6516,6,21,52,33,10,14,72,64,8,"Derecha"
"96",2021-05-04,3080,7,23,52,30,12,12,71,65,6,"Derecha"
"97",2021-05-04,2750,0,33,61,28,0,14,75,61,14,"Derecha"
"98",2021-05-04,7870,0,25,54,30,8,19,73,63,10,"Derecha"
"99",2021-05-04,401,0,16,62,33,11,14,76,60,16,"Derecha"
"100",2021-05-04,3508,0,22,61,31,11,11,72,64,8,"Derecha"
