"","polling_firm","pollster","firm","sample_size","fieldwork_date","end_date","e_day","days_left","turnout","lead","PSOE","PP","Cs","Más Madrid","Vox","Unidas Podemos","headline","source"
"1","NC Report/La Razón","NC Report","La Razón",1000,"7–10 Apr 2021",2021-04-10,"4 May 2021",24,"64.6",16.2,25.5,41.7,5.1,10.3,7.9,8.6,"Adelanto encuesta electoral de Madrid: Sin efecto Iglesias: la izquierda no suma y retrocede tres escaños desde el 2019","https://www.larazon.es/espana/20210411/kqdkotf3cjfrbo6tteeqpbi3ve.html"
"2","Hamalgama Métrica/OKDiario","Hamalgama Métrica","OKDiario",1000,"6–9 Apr 2021",2021-04-09,"4 May 2021",25,"66.9",14.3,27.3,41.6,4.7,12.6,6.2,7,"Ayuso saca mayoría absoluta raspada con Vox, Más Madrid deja atrás a Iglesias y Cs desaparece","https://okdiario.com/espana/ayuso-saca-mayoria-absoluta-raspada-vox-mas-madrid-deja-atras-iglesias-cs-desaparece-7073347"
"3","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2105,"7 Apr 2021",2021-04-07,"4 May 2021",27,"",15.3,25.9,41.2,3.5,10.4,8.5,8.7,"CAMPanel (7A): Ayuso sigue subiendo y alcanza los 60 escaños. Sorpasso de UP a Vox mientras MM se aleja","https://electomania.es/campanel7a21/"
"4","GAD3/ABC","GAD3","ABC",1003,"5–7 Apr 2021",2021-04-07,"4 May 2021",27,"71",20.1,23.2,43.3,2.9,12.8,8.4,7,"Ayuso doblega al 'sanchismo' y supera la amyoría absoluta con Vox","https://www.abc.es/espana/abci-ayuso-doblega-sanchismo-y-supera-mayoria-absoluta-202104110137_noticia.html"
"5","SocioMétrica/El Español","SocioMétrica","El Español",1500,"22 Mar–7 Apr 2021",2021-04-07,"4 May 2021",27,"",15.5,23.3,38.8,5.1,13.8,9.9,7.7,"Ciudadanos aguanta en el filo del 5% y bloquea el ascenso de la izquierda en favor de Ayuso","https://www.elespanol.com/espana/politica/20210408/ciudadanos-aguanta-bloquea-ascenso-izquierda-favor-ayuso/571944444_0.html"
"6","ElectoPanel/Electomanía","ElectoPanel","Electomanía",NA,"1 Apr 2021",2021-04-01,"4 May 2021",33,"",14.4,26.2,40.6,3.6,9.9,9,8.8,"CAMPanel (7A): Ayuso sigue subiendo y alcanza los 60 escaños. Sorpasso de UP a Vox mientras MM se aleja","https://electomania.es/campanel7a21/"
"7","SyM Consulting","SyM Consulting",NA,1527,"29–31 Mar 2021",2021-03-31,"4 May 2021",34,"77.9",10.8,26.9,37.7,4.4,11,11.6,6.4,"Estimación April 1 de 2021 Comunidad de Madrid. Autonómicas 4 de Mayo de 2021","https://twitter.com/Barometrocm/status/1378223675304988677"
"8","SocioMétrica/El Español","SocioMétrica","El Español",1500,"15–31 Mar 2021",2021-03-31,"4 May 2021",34,"",16.9,22.7,39.6,5.3,13.2,11,7.5,"Ayuso sigue creciendo a costa de Vox, Más Madrid lo hace a cuenta de Iglesias y Cs resiste en el 5%","https://www.elespanol.com/espana/politica/20210401/ayuso-creciendo-vox-madrid-iglesias-cs-resiste/570194449_0.html"
"9","Sigma Dos/El Mundo","Sigma Dos","El Mundo",1104,"26–30 Mar 2021",2021-03-30,"4 May 2021",35,"",20,22.8,42.8,4.1,13.3,7.5,8,"Isabel Díaz Ayuso concentra el voto útil y se dispara hacia una gran mayoría a un mes de las elecciones en Madrid","https://www.elmundo.es/espana/encuestas/2021/04/03/6068484afc6c83492a8b45ce.html"
"10","Celeste-Tel/OndaCero","Celeste-Tel","OndaCero",1100,"23–29 Mar 2021",2021-03-29,"4 May 2021",36,"66.6",12.4,26.8,39.2,5.2,10,9.9,8.2,"Encuestas Elecciones Madrid: Ayuso ganaría aunque necesitaría a Vox y probablemente a Ciudadanos para gobernar","https://www.ondacero.es/emisoras/comunidad-madrid/encuestas-elecciones-madrid-ayuso-ganaria-aunque-necesitaria-vox-probablemente-ciudadanos-gobernar_202103306063092d35c2440001bb7262.html"
"11","CIS","CIS",NA,4124,"19–28 Mar 2021",2021-03-28,"4 May 2021",37,"",13.9,25.3,39.2,4.4,14.8,5.4,8.7,"Preelectoral elecciones autonómicas 2021. Comunidad de Madrid (Estudio nº 3317. Marzo 2021)","http://datos.cis.es/pdf/Es3317marMT_A.pdf"
"12","NC Report/La Razón","NC Report","La Razón",1000,"14–27 Mar 2021",2021-03-27,"4 May 2021",38,"61.4",14.1,26,40.1,5.1,9.5,9.1,9.2,"Ayuso e Iglesias enfilan una batalla a dos ante el 4-M","https://www.larazon.es/espana/20210328/5xcmxgintrfk3jnvl3owmliyuq.html"
"13","Invymark/laSexta","Invymark","laSexta",2400,"22–26 Mar 2021",2021-03-26,"4 May 2021",39,"",14.1,26.3,40.4,4.6,10.6,9.5,7.3,"Barómetro laSexta. Ayuso ganaría las elecciones en Madrid y sumaría mayoría absoluta con Vox","https://www.lasexta.com/noticias/nacional/barometro-lasexta-ayuso-ganaria-elecciones-madrid-podria-gobernar-apoyo-vox_20210326605dcdb74347bf0001d8c3d3.html"
"14","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2417,"24 Mar 2021",2021-03-24,"4 May 2021",41,"",14.3,26.3,40.6,2.8,9.6,9.4,9.4,"CAMPanel (24M): triple empate UP-MM-Vox. Ayuso baja y Cs sube ligeramente","https://electomania.es/campanel24m21/"
"15","SocioMétrica/El Español","SocioMétrica","El Español",1500,"15–24 Mar 2021",2021-03-24,"4 May 2021",41,"",16,22.1,38.1,5.1,12.1,12.4,7.9,"Pablo Iglesias 'rebota hacia abajo': pierde la mitad del apoyo que ganó al anunciar su candidatura","https://www.elespanol.com/espana/politica/20210325/pablo-iglesias-rebota-abajo-pierde-anunciar-candidatura/568444885_0.html"
"16","Sigma Dos/Antena 3","Sigma Dos","Antena 3",NA,"23 Mar 2021",2021-03-23,"4 May 2021",42,"",15.8,25.1,40.9,5.1,11.5,8.8,7.7,"Encuesta: El PP y Vox alcanzarían la mayoría absoluta en las elecciones de Madrid","https://www.antena3.com/noticias/espana/encuesta-vox-alcanzarian-mayoria-absoluta-elecciones-madrid_202103236059f37035bc680001393e65.html"
"17","SyM Consulting","SyM Consulting",NA,1376,"21–22 Mar 2021",2021-03-22,"4 May 2021",43,"70.1",8.4,27.2,35.6,4.6,12,11.1,7.2,"Estimación 21-22-Marzo de 2021 Comunidad de Madrid. Autonómicas 4 de Mayo de 2021","https://twitter.com/Barometrocm/status/1374667229556510721"
"18","NC Report/La Razón","NC Report","La Razón",1000,"17–20 Mar 2021",2021-03-20,"4 May 2021",45,"61.1",13.3,26.3,39.6,5.4,9.6,9.2,8.9,"Iglesias se estrella en las elecciones de Madrid: ni desbanca a Errejón ni suma con el PSOE para gobernar","https://www.larazon.es/espana/20210322/fonwc7nqhfdt7g3q52tngssn7q.html"
"19","ElectoPanel/Electomanía","ElectoPanel","Electomanía",NA,"17 Mar 2021",2021-03-17,"4 May 2021",48,"",14.6,26.6,41.2,2,9.7,9.3,9.3,"CAMPanel (24M): triple empate UP-MM-Vox. Ayuso baja y Cs sube ligeramente","https://electomania.es/campanel24m21/"
"20","Hamalgama Métrica/OKDiario","Hamalgama Métrica","OKDiario",1000,"16–17 Mar 2021",2021-03-17,"4 May 2021",48,"",12,27.1,39.1,5.3,10.3,10.5,7,"Ayuso pasará de 30 a 54 escaños y está a uno de la mayoría absoluta junto a Vox","https://okdiario.com/espana/ayuso-pasara-30-54-escanos-esta-uno-mayoria-absoluta-junto-vox-6975737"
"21","DYM/20 minutos","DYM","20 minutos",800,"15–17 Mar 2021",2021-03-17,"4 May 2021",48,"",13.3,23.2,36.5,6.2,13.1,10.8,8.7,"El 'efecto Iglesias' fortalece a Ayuso, que rozaría la mayoría absoluta con Vox","https://www.20minutos.es/noticia/4622786/0/el-efecto-iglesias-refuerza-a-ayuso-y-salva-a-unidas-podemos-en-madrid/"
"22","SocioMétrica/El Español","SocioMétrica","El Español",1200,"16 Mar 2021",2021-03-16,"4 May 2021",49,"",14.2,21.8,36.2,5.5,11.3,12.3,11,"La irrupción de Iglesias hunde a Gabilondo y deja a Ayuso como única posible ganadora en Madrid","https://www.elespanol.com/espana/politica/20210317/irrupcion-iglesias-gabilondo-ayuso-posible-ganadora-madrid/566444898_0.html"
"23","GAD3/Telecinco","GAD3","Telecinco",1003,"15–16 Mar 2021",2021-03-16,"4 May 2021",49,"72",17.3,24.8,42.1,1.9,9.2,7.9,10.9,"El PP obtendría 65 escaños en Madrid frente a los 15 de Podemos, según la encuesta de GAD3 para 'El programa de Ana Rosa'","https://www.telecinco.es/elprogramadeanarosa/politica/elecciones-madrid-encuesta-pp-escanos-podemos-resultados_18_3107745029.html"
"24","DYM/20 minutos","DYM","20 minutos",809,"11–15 Mar 2021",2021-03-15,"4 May 2021",50,"",5.2,27.7,32.9,6.6,15.1,12.4,4.5,"El 'efecto Iglesias' fortalece a Ayuso, que rozaría la mayoría absoluta con Vox","https://www.20minutos.es/noticia/4622786/0/el-efecto-iglesias-refuerza-a-ayuso-y-salva-a-unidas-podemos-en-madrid/"
"25","SyM Consulting","SyM Consulting",NA,1428,"15 Mar 2021",2021-03-15,"4 May 2021",50,"75.3",13.5,22.5,36,2.4,11,16.7,9.6,"Estimación 15-Marzo de 2021 Comunidad de Madrid. Autonómicas 4 de Mayo de 2021. TRACKING FLASH","https://twitter.com/Barometrocm/status/1371725420064866307"
"26","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2400,"15 Mar 2021",2021-03-15,"4 May 2021",50,"",14.4,26.7,41.1,2.7,10.8,9.2,8,"CAMPanel 15M: Ayuso sube tras la candidatura de Iglesias. La unión de UP y MM perjudicaría al PSOE y catapultaría a Ayuso a niveles superiores a los de Feijoo en Galicia","https://electomania.es/campurg15m21/"
"27","Sigma Dos/El Mundo","Sigma Dos","El Mundo",1200,"12–15 Mar 2021",2021-03-15,"4 May 2021",50,"",12,27.5,39.5,5.6,9.8,9.4,6.9,"Díaz Ayuso dobla sus escaños y logra una mayoría por la mínima con Vox","https://www.elmundo.es/espana/encuestas/2021/03/16/605107d5fc6c83de5b8b457a.html"
"28","NC Report/La Razón","NC Report","La Razón",1000,"10–13 Mar 2021",2021-03-13,"4 May 2021",52,"60.7",5.6,27.6,33.2,6.3,12.8,13.7,5.2,"Cs se hunde pero tendría la llave del Gobierno de la Comunidad de Madrid","https://www.larazon.es/espana/20210314/7ht5kuelc5hljb5niq6nhwpn2q.html"
"29","GAD3/ABC","GAD3","ABC",1003,"10–12 Mar 2021",2021-03-12,"4 May 2021",53,"",11.8,27.8,39.6,3.1,11.1,10.5,5.1,"Intención de voto en las próximas elecciones a la Asamblea de Madrid el próximo 4 de mayo","https://www.abc.es/espana/abci-pp-y-superaran-holgura-mayoria-absoluta-madrid-202103122331_noticia.html"
"30","Demoscopia y Servicios/ESdiario","Demoscopia y Servicios","ESdiario",820,"11 Mar 2021",2021-03-11,"4 May 2021",54,"",3.1,28.2,31.3,5.8,12.5,15.2,5.5,"Sondeo ESdiario: Ayuso va disparada a la mayoría absoluta con Vox y Cs se hunde","https://www.esdiario.com/espana/613248750/Sondeo-ESdiario-Ayuso-va-disparada-a-la-mayoria-absoluta-con-Vox-y-Cs-se-hunde.html"
"31","Metroscopia/El Confidencial","Metroscopia","El Confidencial",900,"10–11 Mar 2021",2021-03-11,"4 May 2021",54,"63",12.6,28.4,41,4,11,9.3,4.9,"Ayuso arrasará el 4-M, aunque necesitará a Vox para gobernar Madrid","https://www.elconfidencial.com/espana/2021-03-12/ayuso-arrasara-el-4m-aunque-necesitara-a-vox-para-gobernar-madrid_2989803/"
"32","SyM Consulting","SyM Consulting",NA,1428,"10 Mar 2021",2021-03-10,"4 May 2021",55,"72.8",3.3,25.5,28.8,5.3,11.3,21.7,5.2,"Estimación Marzo 2021. Comunidad de Madrid. Autonómicas 4 de Mayo de 2021. TRACKING FLASH","https://twitter.com/Barometrocm/status/1369926201926688768"
"33","Hamalgama Métrica/OKDiario","Hamalgama Métrica","OKDiario",900,"10 Mar 2021",2021-03-10,"4 May 2021",55,"",3.2,26.7,29.9,9,11.9,15.6,5.2,"Ayuso ganará las elecciones pero PP y Vox se quedan a 6 escaños de la mayoría absoluta","https://okdiario.com/espana/encuesta-asamblea-madrid-pp-vox-cs-elecciones-6941025"
"34","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2400,"10 Mar 2021",2021-03-10,"4 May 2021",55,"",6,27.2,33.2,4.4,14.6,13.7,5.3,"CAMPanel (10M): Cs fuera del Parlamento. EMPATE PERFECTO entre bloques que dejarían la Asamblea en bloqueo","https://electomania.es/campanel10m21/"
"35","KeyData/Público","KeyData","Público",NA,"6 Nov 2020",2020-11-06,"4 May 2021",179,"",2.2,26.6,28.8,11.6,13.2,12.5,5.5,"Ayuso ganaría las elecciones en la Comunidad de Madrid pero no podría prescindir de Aguado ni de Vox","https://www.publico.es/politica/encuesta-madrid-ayuso-ganaria-elecciones-comunidad-madrid-no-prescindir-aguado-vox.html"
"36","SocioMétrica/El Español","SocioMétrica","El Español",1310,"15–17 Oct 2020",2020-10-17,"4 May 2021",199,"",0.9,25.9,26.8,12.3,13.1,14.8,5.2,"Ayuso y Vox crecen a costa de Cs pero Aguado seguirá teniendo la llave de la Comunidad de Madrid","https://www.elespanol.com/espana/politica/20201019/ayuso-vox-cs-aguado-seguira-comunidad-madrid/529197737_0.html"
"37","Hamalgama Métrica/OKDiario","Hamalgama Métrica","OKDiario",1000,"9–12 Oct 2020",2020-10-12,"4 May 2021",204,"60.8",6.3,26.5,32.8,10.3,12.4,10.2,5.6,"El acoso de Sánchez dispara a Ayuso, que ganaría con 15 escaños más, mientras el PSOE se deja uno","https://okdiario.com/espana/acoso-sanchez-madrid-dispara-isabel-diaz-ayuso-que-sube-15-diputados-psoe-deja-uno-6271104"
"38","NC Report/La Razón","NC Report","La Razón",1000,"5–10 Oct 2020",2020-10-10,"4 May 2021",206,"58.6",6.2,26.9,33.1,12.3,12.1,8.7,5.4,"La batalla con Sánchez dispara a Ayuso","https://www.larazon.es/espana/20201012/5wtg3ypde5a23g74xjjfsyjyjm.html"
"39","ElectoPanel/Electomanía","ElectoPanel","Electomanía",650,"1–9 Oct 2020",2020-10-09,"4 May 2021",207,"",5.2,28.5,33.7,9.2,12.7,9.1,5.1,"CAMPanel (9oct): la intervención de Madrid perjudica más a Aguado que a Ayuso, que sale reforzada políticamente","https://electomania.es/campanel9oct20/"
"40","DYM/20 minutos","DYM","20 minutos",NA,"5–7 Oct 2020",2020-10-07,"4 May 2021",209,"",4.2,28.5,24.3,13.9,14,12.7,5.1,"Ayuso sube y podría gobernar de nuevo con los apoyos de Vox y Ciudadanos","https://www.20minutos.es/noticia/4411115/0/pp-voto-ayuso-repetir-gobierno-encuesta-dym/"
"41","SyM Consulting","SyM Consulting",NA,1319,"2–4 Oct 2020",2020-10-04,"4 May 2021",212,"71.0",2.7,25,27.7,9.1,14.2,16.2,5.8,"Estimación Septiembre 2020. Comunidad de Madrid. Autonómicas 2023","https://twitter.com/Barometrocm/status/1313874459330252801"
"42","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2120,"2 Oct 2020",2020-10-02,"4 May 2021",214,"",5,28.4,33.4,10,10.8,9.8,6.5,"CAMPanel (2Oct): la polémica en torno a las restricciones por COVID impulsan a Ayuso, que sube 2,5p en un mes","https://electomania.es/campanel2oct20/"
"43","NC Report/La Razón","NC Report","La Razón",1000,"8–12 Sep 2020",2020-09-12,"4 May 2021",234,"59.2",1,27.4,28.4,14,13,9.4,5.9,"Díaz Ayuso ganaría hoy las elecciones en Madrid con dos diputados más que el PSOE","https://www.larazon.es/madrid/20200913/lbyfwp4ksrefphnloipnx7zyu4.html"
"44","ElectoPanel/Electomanía","ElectoPanel","Electomanía",NA,"31 Aug 2020",2020-08-31,"4 May 2021",246,"",2.3,28.6,30.9,11.3,9.5,10.9,7.2,"CAMPanel (2Oct): la polémica en torno a las restricciones por COVID impulsan a Ayuso, que sube 2,5p en un mes","https://electomania.es/campanel2oct20/"
"45","Sigma Dos/Telemadrid","Sigma Dos","Telemadrid",1600,"19–22 Jun 2020",2020-06-22,"4 May 2021",316,"",2.4,29.5,31.9,10.8,10.3,8.4,7.8,"Ayuso ganaría las elecciones en Madrid, pero sigue necesitando a Ciudadanos y Vox para gobernar","http://www.telemadrid.es/programas/120-minutos/Ayuso-Madrid-Ciudadanos-Vox-elecciones-0-2243775624--20200624105543.html"
"46","ElectoPanel/Electomanía","ElectoPanel","Electomanía",NA,"1 Apr–15 May 2020",2020-05-15,"4 May 2021",354,"",3.8,28.5,32.3,10.2,6.5,10.2,10.5,"EP (17My): Com. Madrid – Ayuso 'lo peta' y podría gobernar con Vox","https://electomania.es/ep-17my-madrid/"
"47","Hamalgama Métrica/OKDiario","Hamalgama Métrica","OKDiario",1000,"8–11 May 2020",2020-05-11,"4 May 2021",358,"",2.5,27.4,29.9,13.9,10.8,9.8,6.6,"La campaña antiAyuso gripa: ganaría hoy las elecciones con 10 escaños más y seguiría de presidenta","https://okdiario.com/espana/isabel-diaz-ayuso-dispara-hasta-40-escanos-gana-pulso-sanchez-crisis-del-coronavirus-5596420"
"48","GAD3/ABC","GAD3","ABC",1006,"24–29 Apr 2020",2020-04-29,"4 May 2021",370,"",13.2,27.9,41.1,7.6,6.6,7.7,6.4,"El PP se dispara en la Comunidad de Madrid y Ciudadanos se hunde","https://www.abc.es/espana/abci-pp-dispara-comunidad-madrid-y-ciudadanos-hunde-202005012034_noticia.html"
"49","SyM Consulting","SyM Consulting",NA,1236,"20–23 Apr 2020",2020-04-23,"4 May 2021",376,"74.4",2.6,24.7,27.3,12.3,8.9,14.9,10,"Estimación Abril 2020. Comunidad de Madrid. Autonómicas 2023","https://twitter.com/Barometrocm/status/1254808737656733702"
"50","ElectoPanel/Electomanía","ElectoPanel","Electomanía",800,"26–31 Mar 2020",2020-03-31,"4 May 2021",399,"",4.3,30.3,26,11.3,4.3,11.8,14.4,"CAMPanel (3A): desplome de Más Madrid, que se queda sin escaños. Ayuso seguiría al frente de la CAM, si Vox, que alcanza a Cs, lo permite","https://electomania.es/camp3a/"
"51","Celeste-Tel","Celeste-Tel",NA,1000,"22–26 Jul 2019",2019-07-26,"4 May 2021",648,"65.0",4.6,28.3,23.7,20.1,14.1,7.6,4.8,"Estudio Sociológico Autonómico. Comunidad de Madrid. Julio de 2019","https://www.celeste-tel.es/wp-content/uploads/2019/08/Encuesta-Auton%C3%B3mica.pdf"
"52","NC Report/La Razón","NC Report","La Razón",900,"9–13 Jul 2019",2019-07-13,"4 May 2021",661,"60.7",1.8,27.8,26,17.7,14.2,7.1,5.1,"La repetición electoral en Madrid sólo beneficia al PP","https://www.larazon.es/espana/la-repeticion-electoral-en-madrid-solo-beneficia-al-pp-BF24215602"
